clave,fecha,almacenamiento,temperatura,humedad,precipitacion,tipo_precip,indice_uv,soleado,nublado,parc_nublado,lluvia_soleado,lluvia_nublado,lluvia_parc_nublado
AGZCH,01/01/2020,79.1,14.7,65,0,0,6,1,0,0,0,0,0
AOBSO,01/01/2020,1683.92,14.7,65,0,0,6,1,0,0,0,0,0
ARCSO,01/01/2020,501.46,14.7,65,0,0,6,1,0,0,0,0,0
ARLSO,01/01/2020,18.42,14.7,65,0,0,6,1,0,0,0,0,0
CHTSO,01/01/2020,13.17,14.7,65,0,0,6,1,0,0,0,0,0
IRASO,01/01/2020,1.35,14.7,65,0,0,6,1,0,0,0,0,0
LCDSO,01/01/2020,738.54,14.7,65,0,0,6,1,0,0,0,0,0
PECSO,01/01/2020,2283.69,14.7,65,0,0,6,1,0,0,0,0,0
PMOSO,01/01/2020,79.58,14.7,65,0,0,6,1,0,0,0,0,0
AGZCH,02/01/2020,79.1,14.5,69,0,0,6,1,0,0,0,0,0
AOBSO,02/01/2020,1691.41,14.5,69,0,0,6,1,0,0,0,0,0
ARCSO,02/01/2020,500.61,14.5,69,0,0,6,1,0,0,0,0,0
ARLSO,02/01/2020,18.52,14.5,69,0,0,6,1,0,0,0,0,0
CHTSO,02/01/2020,13.17,14.5,69,0,0,6,1,0,0,0,0,0
IRASO,02/01/2020,1.35,14.5,69,0,0,6,1,0,0,0,0,0
LCDSO,02/01/2020,738.15,14.5,69,0,0,6,1,0,0,0,0,0
PECSO,02/01/2020,2280.23,14.5,69,0,0,6,1,0,0,0,0,0
PMOSO,02/01/2020,78.4,14.5,69,0,0,6,1,0,0,0,0,0
AGZCH,03/01/2020,79.1,13.5,60.5,0,0,6,1,0,0,0,0,0
AOBSO,03/01/2020,1697.87,13.5,60.5,0,0,6,1,0,0,0,0,0
ARCSO,03/01/2020,500.19,13.5,60.5,0,0,6,1,0,0,0,0,0
ARLSO,03/01/2020,18.72,13.5,60.5,0,0,6,1,0,0,0,0,0
CHTSO,03/01/2020,13.17,13.5,60.5,0,0,6,1,0,0,0,0,0
IRASO,03/01/2020,1.34,13.5,60.5,0,0,6,1,0,0,0,0,0
LCDSO,03/01/2020,737.37,13.5,60.5,0,0,6,1,0,0,0,0,0
PECSO,03/01/2020,2276.77,13.5,60.5,0,0,6,1,0,0,0,0,0
PMOSO,03/01/2020,77.95,13.5,60.5,0,0,6,1,0,0,0,0,0
